,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day,Pillar,Focus,Asset,Post Copy,Hashtags ,Note,Content Type,FOR DE→,Pillar,Focus,Asset,Post Copy,Hashtags ,Content Type,,,,,,,,,,
2026-12-01 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-02 00:00:00,Wed,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-03 00:00:00,Thu,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-04 00:00:00,Fri,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-05 00:00:00,Sat,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-06 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-08 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-09 00:00:00,Wed,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-10 00:00:00,Thu,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-11 00:00:00,Fri,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-12 00:00:00,Sat,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-13 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-14 00:00:00,Mon,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-15 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-16 00:00:00,Wed,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-17 00:00:00,Thu,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-18 00:00:00,Fri,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-19 00:00:00,Sat,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-20 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-21 00:00:00,Mon,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-22 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-24 00:00:00,Thu,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-25 00:00:00,Fri,,Christmas Day ,,,,,,,,,,,,,,,,,,,,,,
2026-12-26 00:00:00,Sat,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-27 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-28 00:00:00,Mon,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-29 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-30 00:00:00,Wed,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-31 00:00:00,,,New Year’s Eve,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
