,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day,Pillar,Focus,Asset,Post Copy,Hashtags ,Note,Content Type,FOR DE→,Pillar,Focus,Asset,Post Copy,Hashtags ,Content Type,,,,,,,,,,
2026-11-01 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-02 00:00:00,Mon,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-03 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-04 00:00:00,Wed,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-05 00:00:00,Thu,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-06 00:00:00,Fri,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-08 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-09 00:00:00,Mon,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-10 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-11 00:00:00,Wed,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-12 00:00:00,Thu,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-13 00:00:00,Fri,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14 00:00:00,Sat,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-15 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-16 00:00:00,Mon,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-17 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-18 00:00:00,Wed,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-19 00:00:00,Thu,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-20 00:00:00,Fri,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-21 00:00:00,Sat,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-22 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-24 00:00:00,Tue,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-25 00:00:00,Wed,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-26 00:00:00,Thu,,Thanksgiving Day,,,,,,,,,,,,,,,,,,,,,,
2026-11-27 00:00:00,Fri,,Black Friday,,,,,,,,,,,,,,,,,,,,,,
2026-11-28 00:00:00,Sat,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-29 00:00:00,Sun,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-30 00:00:00,Mon,,Cyber Monday,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
